English
"(none assigned)"
"Attributed to"
"Country of Origin"
"Decorated in"
"Depicted"
"Designed in"
"Excavated in"
"Formerly considered made in"
"Found"
"Found/excavated"
"From"
"Made for"
"Made in"
"Mint"
"Object place"
"Original"
"Original from"
"Possibly from"
"Possibly made in"
"Presumably from"
"Probably from"
"Probably made for"
"Probably made in"
"Probably originally from"
"Published in"
"Said to be from"
