English
"& Elizeum Weyerstraet, 1667"
"& Joanneum Chriegher, 1568–1569"
"1789–96"
"1939"
"Abruzzo"
"Absam"
"Aceh"
"Adamawa"
"Afyonkarahisar"
"Aichi Prefecture"
"Aklan province"
"Al-Jazira"
"Alabama"
"Alamance"
"Alamance County"
"Alaska"
"Alaska or British Columbia"
"Alaska or plains"
"Alaska?"
"Albacete"
"Albany County"
"Alberta"
"Alberta or Montana"
"Alberta or Saskatchewan"
"Alsace"
"Alsace (?)"
"Amalfi"
"Amazonas province"
"Ambrim Island probably"
"Amoy Province"
"Amoy area, Fukien province"
"Amsterdam (?)"
"Amsterdam(?)"
"Ancona"
"Andalusia"
"Andaman Island"
"Andes region"
"Andhra Maharashtra"
"Andhra Pradesh"
"Aneityum Island"
"Ankara"
"Antananarivo or Arivonimamo"
"Antioch"
"Antwerp"
"Antwerp (?)"
"Antwerp or Brussels"
"Antwerpen"
"Aoba island,  Ambae"
"Aoba island, Ambae"
"Apulia"
"Aquitaine"
"Aragon"
"Aragon (?)"
"Aragon and Sicily"
"Arizona"
"Arizona & New Mexico"
"Arizona (?)"
"Arizona and Mexico"
"Arizona and New Mexico"
"Arizona or New Mexico"
"Arizona or northern Mexico"
"Arizona, New Mexico, or Texas"
"Arizona/New Mexico"
"Arkansas"
"Arnhem Land, North Territory"
"Arno Atoll"
"Artois"
"Arunāchal Pradesh"
"Asia Minor"
"Assam"
"Assam Hills"
"Asturias"
"Augsburg"
"Aurangabad or Golconda"
"Austria"
"Auvergne"
"Auvergne or Guyenne"
"Avignon (?)"
"Avignon ?"
"Ayutthaya?"
"Azerbaijan"
"Badakhshan Province"
"Balearic Islands"
"Bali"
"Balochistan"
"Balochistān"
"Baluchistan"
"Banks Islands"
"Barnstable"
"Barotseland"
"Basilan"
"Basutoland"
"Bavaria"
"Bavaria?"
"Beaune"
"Beijing Shi"
"Bengal"
"Bengal or Orissa"
"Bengkulu"
"Bergen"
"Bergen County"
"Berks County"
"Berne"
"Berry"
"Bihar"
"Bikaner"
"Bismarck Archipelago"
"Bismarck Island Archipelago"
"Bizen Province (present-day Okayama Prefecture)"
"Bobo-Dioulasso district"
"Bohemia"
"Bondoukou Department"
"Bonnefont"
"Borneo"
"Bouches-du-Rhône"
"Bougainville Province"
"Bougainville province"
"Bourges"
