English
"Abadiya"
"Abadiya or Hiw"
"Abu Rawash"
"Abusir"
"Abydos"
"Adana"
"Akhmim (Khemmis, Panopolis)"
"Alexandria"
"Amarna (Akhetaten)"
"Amarna/Akhetaten"
"Amra"
"Armant (Iuny, Hermonthis)"
"Asasif"
"Asasif, Birabi"
"Aswan (Syene)"
"Asyut (Assiut, Siut; Lykopolis)"
"Asyut (Lykopolis)"
"Athribis (Tell Atrib)"
"Bab edh-Dhra'"
"Babylon (?)"
"Babylon (?) (modern Hillah)"
"Babylon (modern Hillah)"
"Balawat"
"Balyana"
"Behbeit el-Hagar (Hebyt, Iseum)"
"Beledeh District"
"Bench Mark L, 201-2"
"Beni Hasan"
"Borsippa (?)"
"Borsippa (Birs Nimrud)"
"Buhen"
"Byblos"
"Cemetery B"
"Chekka Sabz"
"Cheshmeh Ali"
"Choga Zanbil"
"Ctesiphon"
"Cusae (Qis)"
"Dahshur"
"Dalma Tepe"
"Damb Sadaat"
"Damb Sadaat (Mian Ghundai)"
"Deir"
"Deir Rifa"
"Deir el Bahri"
"Deir el-Bahri"
"Deir el-Bahri & el- Asasif"
"Deir el-Ballas"
"Deir el-Hagar"
"Deir el-Medina"
"Dendera"
"Dendera area"
"Dendur"
"Dimai"
"Dimai or Kom Aushim (Karanis)"
"Dimê"
"Dinkha Tepe"
"Dishasha"
"Diyala region"
"Dongola"
"Dra Abu el-Naga"
"Drehem (ancient Puzrish-Dagan)"
"Eastern Delta"
"Edfu (Apollonopolis Magna)"
"Edfu, by inscriptions"
"El Tarif possibly"
"Elephantine"
"Elkab"
"Elkab (Nekhen)"
"Eridu (modern Abu Shahrein)"
"Eshnunna (modern Tell Asmar)"
"Eti Yokusu"
"Faras"
"Gebelein (Krokodilopolis)"
"Girga (Thinis)"
"Girsu (modern Tello)"
"Giza"
"Giza or Saqqara"
"Gurob"
"Hajji Firuz Tepe"
"Haraga"
"Hasanlu"
"Hatra"
"Hawara"
"Heliopolis (Iunu; On)"
"Herakleopolis (Ihnasya el-Medina)"
"Hermopolis (Ashmunein; Khemenu)"
"Hermopolis (el-Ashmunein; Khemenu)"
"Hiba (Ankyronpolis)"
"Hibis"
"Hierakonpolis (Nekhen)"
"Hihya"
"Hiw"
"Hurbeit (Pharbaethos)"
"Island of Melos"
"Istakhr, near Persepolis"
"Kamterlan I"
"Kamterlan II"
"Kara Tepe (Azerbaijan)"
"Karnak"
"Kfar Malik"
"Khafajah"
"Khashmet el-Dib"
"Khatunban A"
"Khokha"
"Khorsabad (ancient Dur-Sharrukin)"
"Kish or Dilbat"
"Kom Aushim (Karanis)"
"Kom K"
"Kom W"
"Kom el-Girza"
"Kourion (Curium)"
"Kuh-i Khwaja"
"Lachish (modern Tell ed-Duweir)"
"Lagash (modern al Hiba)"
"Lahun"
"Larsa (modern Senkereh)"
"Libyan Desert"
"Lisht"
"Lisht North"
"Lisht South"
"Lower Asasif"
"Lower Asasif, Birabi"
"Lugdunum"
"Luxor"
"Luxor (el-Uqsur)"
"Maghagha"
"Mahasna"
"Mallawi"
"Malqata"
"Manfalut"
"Matariya"
"Matmar"
"Medamud"
"Medinet Habu"
"Medinet el-Fayum (Krokodilopolis-Arsinoe)"
"Mefkat (Kom Abu Billu)"
"Meidum"
"Meir"
"Memphis (Mit Rahina)"
"Memphite Necropolis"
"Memphite necropolis"
"Mendes (Tell el-Ruba)"
"Merimda Beni Salama"
"Mishrifa (Qatna)"
"Moalla"
"Munagat"
"Nag el-Deir"
"Nahariya"
"Napata"
"Naqada"
"Naqada (Nubt, Ombos)"
"Naukratis"
"Nimrud (ancient Kalhu)"
"Nineveh"
"Nineveh (?)"
"Nippur"
"Nishapur"
"Nizamabad"
"North Saqqara"
"Nuri"
"Old Cairo (""Babylon"")"
"Oxyrhynchus (Bahnasa)"
"Paikuli"
"Palmyra"
"Pasargadae"
"Pernebwadjyt (south of Qaw el-Kebir)"
"Persepolis"
"Petra"
"Philae"
"Qantir (Piramesse)"
"Qasr el-Sagha"
"Qasr wa el-Sayed"
"Qasr-i Abu Nasr"
"Qau"
"Qau District (?)"
"Qena area"
"Qift (Quft, Keft; Coptos)"
"Qift (Quft, Keft; Coptos); inc. el-Qala"
"Qift, Birba"
"Qumran"
"Qurna"
"Qurnet Murai"
"Ramesseum Area"
"Reqaqna"
"Riqqa"
"Rizeiqat"
"Saft el-Hina (Per-Sopdu)"
"Sakhebu"
"Samarra"
"Samayna"
"Saqqara"
"Saqqqara"
"Sebennytos (Sammanud)"
"Sedment"
"Serabit el-Khadim"
"Shaffe"
"Shahr-i Qumis (ancient Hecatompylos)"
"Sheik Abd el-Qurna"
"Sheikh Abada (Antinoopolis)"
"Sheikh Abd el Qurna"
"Sheikh Abd el-Qurha"
"Sheikh Abd el-Qurna"
"Sheikh Said"
"Sheikh abd el-Qurna"
"Shurafa"
"Sidmant el-Gebel (Sedment)"
"Sippar (?)"
"Sippar (?) (modern Tell Abu Habba)"
"Sippar (modern Tell Abu Habba)"
"Site N"
"Site T"
"Site Z"
"South Valleys"
"Southern Asasif"
"Southern Asasif, Meketre Valley"
"Southern Asasif, Royal Cache Valley"
"Southern Asasif, royal cache valley"
"Southern Asasif, unfinished Temple Area"
"Southern Asasif, unfinished Temple area"
"Southern Asasif, unfinished temple area"
"Southern Asasif, unfinished temple areaf"
"Southern Asasif, unfinished temple valley"
"Surkh Dum"
"Susa"
"Sé Girdan"
"Tall-i Bakun A"
"Tall-i Nokhodi"
"Tall-i Shogha"
"Tanis (San el-Hagar)"
"Tarif"
"Tarkhan"
"Tarut island (al-Rafiah)"
"Tawilan"
"Teleilat Ghassul"
"Tell Agrab"
"Tell Basta (Bubastis)"
"Tell Brak"
"Tell Halaf (ancient Guzana)"
"Tell Taya"
"Tell al-Hawa"
"Tell al-Rimah"
"Tell al-Shibba (near Tell Afar)"
"Tell al-Ubaid"
"Tell el-Balamun (Diospolis Inferior)"
"Tell el-Belamun (Diospolis Inferior)"
"Tell el-Rataba (Raamses)"
"Tell el-Yahudiya"
"Tepe Hissar"
"Tepe Nush-i Jan"
"Tepe Qumish A"
"Tepe Sialk"
"Thebes"
"Tivoli"
"Trabzon"
"Tukh"
"Tukh el-Qaramus"
"Tuna el Gebel"
"Tuna el-Gebel"
"Tuna el-Gebel region"
"Tureng Tepe"
"Tyre"
"Umma (modern Jokha)"
"Umma (modern Jokha) (?)"
"Unfinished Temple Valley"
"Upper Egypt"
"Ur (modern Tell al-Muqayyar)"
"Uruk (modern Warka)"
"Ushu-Solduz Valley"
"Valley of the Kings"
"Valley of the Queens"
"Valley of the Queens (Biban el-Malikat)"
"Wadi Gabbanat el-Qurud"
"Wadi Gabbanat el-Qurud, Wadi D"
"Wadi Qabbanat el-Qurud"
"West Valley of the Kings"
"Xois (Khasut/Sakha)"
"Yarim Tepe"
"Zaraby (near Deir Rifa)"
"Zarde Savar"
"Zawyet Abu Musallam"
"camp II (CII)"
"camp II (CII) basin"
"camp II (CII), Kom W"
"camp II (CII), site W"
"el-Deir"
"el-Gheita"
"el-Khokha"
"el-Tarif probably"
"near Edfu (Apollonopolis Magna)"
"possibly from Maikop"
"possibly from Persepolis"
"possibly from Surkh Dum"
"possibly from Susa"
"possibly from Tepe Giyan"
"possibly from Tepe Sialk"
"probably Sippar-Yahrurum (modern Tell Abu Habba)"
"probably from Acemhöyük"
"probably from Arslan Tash (ancient Hadatu)"
"probably from Ashur (modern Qal 'at Sherqat)"
"probably from Babylon (modern Hilah)"
"probably from Babylon (modern Hillah)"
"probably from Babylon or Sippar"
"probably from Borsippa (Birs Nimrud)"
"probably from Choga Zanbil"
"probably from Ctesiphon"
"probably from Ctesiphon or Seleucia"
"probably from Dilbat"
"probably from Drehem (ancient Puzrish-Dagan)"
"probably from Girsu (modern Tello)"
