English
"1"
"11"
"12"
"18"
"19-20"
"26"
"26-26"
"6"
"8–11"
"9 or later"
"Dyn. 19 - 20 or later"
"Dyna 19-20 or later"
"Dynasties 18–20"
"Dynasties 19–20"
"Dynasty  13"
"Dynasty 0"
"Dynasty 0-2"
"Dynasty 0–1"
"Dynasty 0–2"
"Dynasty 1"
"Dynasty 1, 3–4"
"Dynasty 10–11"
"Dynasty 11"
"Dynasty 11 (?)"
"Dynasty 11 or 12"
"Dynasty 11 or earlier"
"Dynasty 11 or later"
"Dynasty 11, early"
"Dynasty 11, late"
"Dynasty 11, late-12"
"Dynasty 11, late–12, early"
"Dynasty 11-12"
"Dynasty 11?"
"Dynasty 11–12"
"Dynasty 11–13"
"Dynasty 11–17"
"Dynasty 11–18"
"Dynasty 11–early 18"
"Dynasty 11–mid 12"
"Dynasty 12"
"Dynasty 12 (?)"
"Dynasty 12 mid-13"
"Dynasty 12 probably"
"Dynasty 12 to early Dynasty 13"
"Dynasty 12, beginning"
"Dynasty 12, early"
"Dynasty 12, early - mid"
"Dynasty 12, early-mid"
"Dynasty 12, early–to Senwosret II"
"Dynasty 12, late"
"Dynasty 12, late  - 13, early"
"Dynasty 12, late - 13 up to 1700"
"Dynasty 12, late - Dynasty 13, early"
"Dynasty 12, late - Second Intermediate Period"
"Dynasty 12, late - early 13"
"Dynasty 12, late -17"
"Dynasty 12, late – early 13"
"Dynasty 12, late –13"
"Dynasty 12, late –13, early"
"Dynasty 12, late-13 up to 1700 B. C."
"Dynasty 12, late-17"
"Dynasty 12, late-early 18 or later"
"Dynasty 12, late– Dynasty 17"
"Dynasty 12, late–13"
"Dynasty 12, late–13 or later"
"Dynasty 12, late–13 to 1700 B.C."
"Dynasty 12, late–13 up to 1700 B. C."
"Dynasty 12, late–13, early"
"Dynasty 12, late–17"
"Dynasty 12, late–early 13"
"Dynasty 12, mid"
"Dynasty 12, mid - Dynasty 13"
"Dynasty 12, mid to second half"
"Dynasty 12, mid- Dynasy 13"
"Dynasty 12, mid–13"
"Dynasty 12, mid–late"
"Dynasty 12,mid–Dynasty 13"
"Dynasty 12- 13"
"Dynasty 12-13"
"Dynasty 12–13"
"Dynasty 12–13 ?"
"Dynasty 12–13, early"
"Dynasty 12–13, late"
"Dynasty 12–14"
"Dynasty 12–15"
"Dynasty 12–17"
"Dynasty 12–17 or later"
"Dynasty 12–18"
"Dynasty 12–20"
"Dynasty 12–2nd Intermediate Period"
"Dynasty 12–Dynasty 13"
"Dynasty 12–Early Dynasty 18"
"Dynasty 12–early Dynasty 18"
"Dynasty 13"
"Dynasty 13 or later"
"Dynasty 13 probably"
"Dynasty 13 to 1700 B.C."
"Dynasty 13(?)"
"Dynasty 13, late"
"Dynasty 13, late–15"
"Dynasty 13, late–18, early"
"Dynasty 13, mid"
"Dynasty 13, possibly 15, early"
"Dynasty 13, reign of Khendjer"
"Dynasty 13-17"
"Dynasty 13-18"
"Dynasty 13?"
"Dynasty 13–14"
"Dynasty 13–15"
"Dynasty 13–17"
"Dynasty 13–18"
"Dynasty 13–18, early"
"Dynasty 13–2nd Intermediate Period"
"Dynasty 13–SIP"
"Dynasty 14"
"Dynasty 14-22"
"Dynasty 14–15"
"Dynasty 14–17"
"Dynasty 15"
"Dynasty 15, late"
"Dynasty 15–16"
"Dynasty 15–17"
"Dynasty 15–18"
"Dynasty 15–18, early"
"Dynasty 16"
"Dynasty 17"
"Dynasty 17-18"
"Dynasty 17–18"
"Dynasty 17–Early Dynasty 18"
"Dynasty 17–early 18"
"Dynasty 17–early Dynasty 18"
"Dynasty 18"
"Dynasty 18 (?)"
"Dynasty 18 (Amarna Period)"
"Dynasty 18 ?"
"Dynasty 18 or 21–22"
"Dynasty 18 or later"
"Dynasty 18 or later (?)"
"Dynasty 18, Reign of Amenhotep III"
"Dynasty 18, early"
